Name,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Brand,Model,Age,Mileage(kmpl)
Toyota Corolla Altis G,Delhi,87615,Petrol,Manual,First,1798.0,138.1,5.0,6.75,Toyota,Corolla,8,14.53
Mahindra Ssangyong Rexton RX7,Bangalore,72000,Diesel,Automatic,Second,2696.0,184.0,7.0,12.5,Mahindra,Ssangyong,7,11.18
Audi A6 2.7 TDI,Kolkata,35000,Diesel,Automatic,First,2698.0,179.5,5.0,11.5,Audi,A6,10,12.4
Volkswagen Vento 1.6 Highline,Coimbatore,55431,Petrol,Manual,Second,1598.0,103.5,5.0,6.98,Volkswagen,Vento,6,16.09
Maruti Wagon R LXI BSIII,Jaipur,83816,Petrol,Manual,Second,1061.0,64.0,5.0,1.85,Maruti,Wagon,11,14.0
Maruti Vitara Brezza ZDi Plus,Kochi,50075,Diesel,Manual,First,1248.0,88.5,5.0,8.63,Maruti,Vitara,2,24.3
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,52000,Petrol,Manual,First,1198.0,82.0,5.0,4.85,Mahindra,KUV,3,18.15
Mercedes-Benz M-Class ML 350 CDI,Pune,85000,Diesel,Automatic,First,2987.0,,5.0,28.0,Mercedes-Benz,M-Class,7,11.74
Volkswagen Polo Diesel Trendline 1.2L,Chennai,62000,Diesel,Manual,First,1199.0,73.9,5.0,5.0,Volkswagen,Polo,7,22.07
Maruti Alto LXi,Delhi,90000,Petrol,Manual,Second,796.0,46.3,5.0,1.25,Maruti,Alto,12,19.7
Tata Nano LX SE,Kochi,19698,Petrol,Manual,First,624.0,37.5,4.0,1.53,Tata,Nano,6,25.4
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,22033,Diesel,Manual,First,1198.0,77.0,6.0,5.58,Mahindra,KUV,3,25.32
Hyundai i20 Magna Optional 1.2,Kochi,35487,Petrol,Manual,First,1197.0,82.9,5.0,4.74,Hyundai,i20,6,18.5
Hyundai Elantra 2.0 SX Option AT,Bangalore,46374,Petrol,Automatic,First,1999.0,149.92,5.0,8.85,Hyundai,Elantra,6,14.62
Toyota Corolla Altis G AT,Mumbai,52001,Petrol,Automatic,First,1798.0,138.03,5.0,10.11,Toyota,Corolla,4,14.28
Hyundai Elantra CRDi,Ahmedabad,58005,Diesel,Manual,Second,1991.0,112.2,5.0,4.25,Hyundai,Elantra,12,14.9
Toyota Innova Crysta 2.7 GX MT,Bangalore,70704,Petrol,Manual,First,2694.0,163.7,7.0,10.95,Toyota,Innova,8,11.25
Hyundai Xcent 1.1 CRDi S,Jaipur,75000,Diesel,Manual,First,1120.0,71.0,5.0,3.85,Hyundai,Xcent,6,24.4
Mahindra Thar CRDe AC,Jaipur,75800,Diesel,Manual,Second,2498.0,105.0,6.0,5.5,Mahindra,Thar,8,16.55
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,13648,Diesel,Automatic,First,1968.0,174.33,5.0,21.43,Audi,A4,5,17.11
Maruti Swift LDI,Delhi,52000,Diesel,Manual,First,1248.0,74.0,5.0,4.25,Maruti,Swift,6,22.9
Maruti Swift Ldi BSIV,Kolkata,53000,Diesel,Manual,First,1248.0,75.0,5.0,3.3,Maruti,Swift,6,17.8
Maruti Swift VDI,Delhi,65650,Diesel,Manual,First,1248.0,74.0,5.0,3.85,Maruti,Swift,7,28.4
Hyundai Grand i10 Sportz,Chennai,54000,Petrol,Manual,Third,1197.0,82.0,5.0,3.6,Hyundai,Grand,5,18.9
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,39000,Petrol,Manual,First,1598.0,103.2,5.0,3.99,Volkswagen,Vento,5,15.04
Renault KWID RXT,Kochi,16542,Petrol,Manual,First,799.0,53.3,5.0,3.3,Renault,KWID,3,25.17
Hyundai i10 Asta,Kolkata,32000,Petrol,Manual,First,1197.0,78.9,5.0,2.07,Hyundai,i10,10,20.36
Nissan X-Trail SLX AT,Hyderabad,121812,Diesel,Automatic,First,1995.0,147.6,5.0,7.75,Nissan,X-Trail,10,13.29
Maruti Zen Estilo VXI BSIII,Hyderabad,39300,Petrol,Manual,First,998.0,67.1,5.0,2.25,Maruti,Zen,10,18.2
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,22000,Diesel,Manual,First,2393.0,147.8,8.0,16.5,Toyota,Innova,3,13.68
Ford Figo Diesel Titanium,Bangalore,72000,Diesel,Manual,First,1399.0,68.0,5.0,2.75,Ford,Figo,10,20.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,58000,Petrol,Automatic,First,1796.0,186.0,5.0,26.7,Mercedes-Benz,New,5,11.74
Mercedes-Benz New C-Class 200 CDI Classic,Pune,65000,Diesel,Manual,Second,2148.0,170.0,5.0,10.0,Mercedes-Benz,New,9,15.8
Tata Indica V2 eLS,Chennai,178000,Diesel,Manual,First,1396.0,69.0,5.0,2.5,Tata,Indica,4,25.0
Audi A4 2.0 TDI Multitronic,Jaipur,65664,Diesel,Automatic,First,1968.0,140.0,5.0,13.5,Audi,A4,8,16.55
Honda City ZX CVT,Mumbai,63000,Petrol,Automatic,Second,1497.0,78.0,5.0,1.85,Honda,City,13,16.4
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,15369,Diesel,Automatic,First,1950.0,194.0,5.0,35.67,Mercedes-Benz,C-Class,1,
Maruti Ertiga SHVS VDI,Pune,63000,Diesel,Manual,First,1248.0,88.5,7.0,8.15,Maruti,Ertiga,4,24.52
Hyundai Creta 1.4 E Plus Diesel,Mumbai,13000,Diesel,Manual,First,1396.0,88.7,5.0,10.5,Hyundai,Creta,2,22.1
Porsche Cayenne 2009-2014 Turbo,Mumbai,73000,Petrol,Automatic,First,,,5.0,14.5,Porsche,Cayenne,12,8.5
Mahindra XUV500 W8 4WD,Mumbai,55729,Diesel,Manual,First,2179.0,140.0,7.0,9.65,Mahindra,XUV500,5,15.1
Hyundai i10 Sportz 1.2 AT,Kochi,45178,Petrol,Automatic,First,1197.0,78.9,5.0,3.48,Hyundai,i10,8,16.95
Nissan Terrano XV D Pre,Kochi,56066,Diesel,Manual,First,1461.0,108.5,5.0,6.92,Nissan,Terrano,5,19.64
Honda Brio VX AT,Coimbatore,37300,Petrol,Automatic,Second,1198.0,86.8,5.0,6.46,Honda,Brio,4,16.5
Audi A6 2.0 TDI Design Edition,Delhi,56000,Diesel,Automatic,Second,1968.0,187.74,5.0,29.5,Audi,A6,6,18.53
Ford Fiesta 1.4 SXi TDCi,Jaipur,111111,Diesel,Manual,First,1399.0,,5.0,2.0,Ford,Fiesta,12,17.8
Toyota Innova 2.0 G1,Chennai,230000,Petrol,Manual,Third,1998.0,132.0,8.0,4.5,Toyota,Innova,14,12.4
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,104000,Diesel,Manual,First,2494.0,102.0,7.0,11.75,Toyota,Innova,8,12.8
Hyundai Santro Xing XL,Hyderabad,87591,Petrol,Manual,First,1086.0,,5.0,1.3,Hyundai,Santro,15,
Maruti Swift VDI,Jaipur,95100,Diesel,Manual,First,1248.0,74.0,5.0,3.75,Maruti,Swift,8,22.9
Tata Zest Revotron 1.2T XE,Pune,70000,Petrol,Manual,First,1193.0,88.7,5.0,4.5,Tata,Zest,3,17.57
Honda Amaze SX i-VTEC,Kochi,54944,Petrol,Manual,First,1198.0,86.7,5.0,4.82,Honda,Amaze,4,18.0
Ford Figo Diesel ZXI,Hyderabad,70337,Diesel,Manual,First,1399.0,68.0,5.0,2.8,Ford,Figo,8,20.0
Maruti Ritz VDi,Jaipur,99638,Diesel,Manual,First,1248.0,73.94,5.0,3.11,Maruti,Ritz,7,23.2
Honda City i VTEC E,Delhi,52000,Petrol,Manual,First,1497.0,117.3,5.0,3.25,Honda,City,11,17.8
BMW 5 Series 2003-2012 525d,Delhi,75000,Diesel,Automatic,Second,1995.0,218.0,5.0,13.9,BMW,5,9,16.73
Hyundai i10 Sportz 1.2,Pune,95980,Petrol,Manual,First,1197.0,78.9,5.0,2.25,Hyundai,i10,11,20.36
Hyundai Grand i10 Sportz,Bangalore,16000,Petrol,Manual,First,1197.0,82.0,5.0,5.75,Hyundai,Grand,4,18.9
Hyundai Santro Xing XO,Hyderabad,73745,Petrol,Manual,First,1086.0,,5.0,2.1,Hyundai,Santro,13,17.0
Honda Amaze SX i-VTEC,Mumbai,18949,Petrol,Manual,First,1198.0,86.7,5.0,5.0,Honda,Amaze,4,17.8
Toyota Fortuner 4x2 Manual,Delhi,107000,Diesel,Manual,First,2982.0,168.5,7.0,16.5,Toyota,Fortuner,6,13.0
Audi A6 2011-2015 35 TDI Premium,Coimbatore,48367,Diesel,Automatic,First,1968.0,174.33,5.0,39.58,Audi,A6,2,17.68
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,57000,Diesel,Manual,First,1498.0,89.84,5.0,5.5,Ford,Ecosport,7,22.7
Mahindra XUV500 W8 2WD,Delhi,58000,Diesel,Manual,First,2179.0,140.0,7.0,8.1,Mahindra,XUV500,6,15.1
Honda Amaze SX i-DTEC,Kolkata,30000,Diesel,Manual,First,1498.0,98.6,5.0,3.5,Honda,Amaze,5,25.8
Volkswagen Polo Diesel Highline 1.2L,Kolkata,34212,Diesel,Manual,First,1199.0,73.9,5.0,2.79,Volkswagen,Polo,7,22.07
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,70002,Diesel,Manual,First,1493.0,110.0,5.0,3.45,Hyundai,Verna,10,16.2
Maruti Wagon R VXI BS IV,Bangalore,62000,Petrol,Manual,First,998.0,67.1,5.0,4.45,Maruti,Wagon,4,18.9
Volkswagen Polo Petrol Highline 1.6L,Delhi,62001,Petrol,Manual,First,1598.0,103.5,5.0,2.65,Volkswagen,Polo,10,15.26
Hyundai i20 1.4 CRDi Sportz,Pune,78958,Diesel,Manual,Second,1396.0,90.0,5.0,3.8,Hyundai,i20,9,23.0
Hyundai i20 Asta 1.2,Mumbai,30180,Petrol,Manual,First,1197.0,82.85,5.0,4.65,Hyundai,i20,6,18.5
Datsun GO Plus T Petrol,Pune,32851,Petrol,Manual,First,1198.0,67.0,7.0,3.95,Datsun,GO,3,19.83
Audi A4 3.0 TDI Quattro Premium,Kolkata,30000,Diesel,Automatic,First,2967.0,,5.0,9.8,Audi,A4,10,14.94
Hyundai i20 2015-2017 Asta,Pune,66000,Petrol,Manual,Second,1197.0,80.0,5.0,2.7,Hyundai,i20,11,17.0
Maruti Omni 5 Str STD,Coimbatore,93850,Petrol,Manual,First,796.0,35.0,5.0,2.41,Maruti,Omni,10,14.0
Toyota Etios Liva 1.2 G,Ahmedabad,53000,Petrol,Manual,First,1197.0,78.9,5.0,3.9,Toyota,Etios,6,17.71
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,78000,Diesel,Automatic,Second,2993.0,,5.0,24.0,Jaguar,XF,9,14.74
Mahindra XUV500 W8 2WD,Delhi,65000,Diesel,Manual,Second,2179.0,140.0,7.0,5.75,Mahindra,XUV500,8,16.0
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,40000,Diesel,Automatic,First,1582.0,126.32,5.0,5.25,Hyundai,Verna,6,22.32
Toyota Innova Crysta 2.8 ZX AT,Mumbai,30000,Diesel,Automatic,First,2755.0,171.5,7.0,19.25,Toyota,Innova,3,11.36
Maruti Eeco 5 Seater AC,Coimbatore,38053,Petrol,Manual,First,1196.0,73.0,5.0,3.91,Maruti,Eeco,3,15.1
Tata Nano Twist XT,Bangalore,25500,Petrol,Manual,First,624.0,37.5,4.0,2.15,Tata,Nano,6,25.4
BMW 3 Series 320d Luxury Line,Mumbai,56087,Diesel,Automatic,First,1995.0,190.0,5.0,20.75,BMW,3,5,22.69
Honda Civic 2006-2010 1.8 V MT,Delhi,71088,Petrol,Manual,First,1799.0,130.0,5.0,3.35,Honda,Civic,10,13.5
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,55000,Diesel,Manual,First,2494.0,100.6,7.0,11.11,Toyota,Innova,6,12.99
Volvo V40 Cross Country D3,Bangalore,32700,Diesel,Automatic,First,1984.0,150.0,5.0,20.0,Volvo,V40,6,23.3
Nissan Micra XV CVT,Coimbatore,39882,Petrol,Automatic,First,1198.0,75.94,5.0,6.55,Nissan,Micra,4,19.15
BMW 5 Series 2010-2013 525i,Mumbai,128000,Petrol,Automatic,First,2497.0,215.0,5.0,7.0,BMW,5,11,10.8
Maruti Vitara Brezza VDi,Mumbai,55000,Diesel,Manual,First,1248.0,88.5,5.0,7.5,Maruti,Vitara,4,24.3
Hyundai Santro Xing XL eRLX Euro III,Mumbai,102000,Petrol,Manual,Second,1086.0,,5.0,0.85,Hyundai,Santro,15,17.0
Mercedes-Benz B Class B200 CDI,Pune,53753,Diesel,Automatic,Second,2143.0,107.3,5.0,16.75,Mercedes-Benz,B,6,15.0
Hyundai Verna CRDi 1.6 SX Option,Kolkata,10250,Diesel,Manual,First,1582.0,126.2,5.0,10.95,Hyundai,Verna,2,22.0
Maruti Wagon R LXI BS IV,Pune,43874,Petrol,Manual,First,998.0,67.1,5.0,2.45,Maruti,Wagon,9,18.9
Tata Nano XTA,Coimbatore,32684,Petrol,Automatic,First,624.0,37.48,4.0,3.23,Tata,Nano,3,21.9
Mahindra Scorpio VLX,Kolkata,42000,Diesel,Manual,First,2179.0,120.0,8.0,7.75,Mahindra,Scorpio,6,12.05
Mercedes-Benz New C-Class 200 K AT,Kolkata,28352,Petrol,Automatic,First,1796.0,178.0,5.0,9.35,Mercedes-Benz,New,11,11.7
Maruti Wagon R LXI CNG,Pune,89900,CNG,Manual,First,998.0,58.16,5.0,3.25,Maruti,Wagon,7,
Honda CR-V 2.4 MT,Bangalore,47700,Petrol,Manual,Second,2354.0,152.0,5.0,5.25,Honda,CR-V,13,10.8
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,55000,Diesel,Automatic,First,1498.0,103.2,5.0,7.25,Volkswagen,Vento,5,21.21
Maruti Ciaz VXi Plus,Kochi,44285,Petrol,Manual,First,1373.0,91.1,5.0,7.47,Maruti,Ciaz,3,20.73
Mahindra XUV500 AT W10 FWD,Jaipur,54000,Diesel,Automatic,First,2179.0,140.0,7.0,13.25,Mahindra,XUV500,4,16.0
Maruti Ritz VXI ABS,Coimbatore,30232,Petrol,Manual,First,1197.0,85.8,5.0,5.81,Maruti,Ritz,4,21.1
Maruti Alto K10 VXI,Hyderabad,88500,Petrol,Manual,First,998.0,67.1,5.0,2.6,Maruti,Alto,6,24.07
Mercedes-Benz SLC 43 AMG,Kolkata,13372,Petrol,Automatic,First,2996.0,,2.0,54.0,Mercedes-Benz,SLC,3,19.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,12645,Petrol,Automatic,First,1591.0,121.3,5.0,11.5,Hyundai,Verna,1,17.0
Maruti Alto LXi BSIII,Chennai,94385,Petrol,Manual,Second,796.0,46.3,5.0,1.6,Maruti,Alto,10,19.7
BMW 1 Series 118d Base,Coimbatore,31821,Diesel,Automatic,First,1995.0,143.0,5.0,17.22,BMW,1,5,20.58
Honda Jazz 1.2 V CVT i VTEC,Mumbai,12000,Petrol,Automatic,First,1199.0,88.7,5.0,6.0,Honda,Jazz,5,19.0
Honda Civic 2006-2010 1.8 V MT,Delhi,88578,Petrol,Manual,First,1799.0,130.0,5.0,3.95,Honda,Civic,8,13.5
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,44965,Diesel,Automatic,First,2143.0,170.0,5.0,17.95,Mercedes-Benz,New,6,19.27
Honda Amaze SX i-DTEC,Kolkata,45044,Diesel,Manual,First,1498.0,98.6,5.0,3.7,Honda,Amaze,6,25.8
Maruti Swift VVT VXI,Kochi,34204,Petrol,Manual,First,1197.0,81.8,5.0,5.43,Maruti,Swift,4,22.0
Hyundai Santro Xing XO eRLX Euro II,Kochi,80759,Petrol,Manual,Third,1086.0,,5.0,1.67,Hyundai,Santro,12,17.0
Toyota Fortuner 3.0 Diesel,Coimbatore,91235,Diesel,Manual,First,2982.0,171.0,7.0,13.49,Toyota,Fortuner,8,11.5
Chevrolet Beat LT Option,Pune,38800,Petrol,Manual,First,1199.0,76.8,5.0,2.85,Chevrolet,Beat,6,18.6
Skoda Rapid 1.5 TDI Elegance,Chennai,83000,Diesel,Manual,First,1498.0,103.52,5.0,4.75,Skoda,Rapid,7,21.14
Maruti Ciaz 1.4 Alpha,Kochi,41283,Petrol,Manual,First,1373.0,91.1,5.0,9.9,Maruti,Ciaz,2,20.73
Audi RS5 Coupe,Mumbai,23000,Petrol,Automatic,First,2894.0,,4.0,37.0,Audi,RS5,7,11.05
BMW 3 Series Luxury Line,Mumbai,48000,Diesel,Automatic,First,1995.0,190.0,5.0,26.5,BMW,3,6,21.76
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,48214,Diesel,Automatic,First,1968.0,174.33,5.0,23.32,Audi,A4,5,17.11
Maruti Swift VDI,Chennai,35000,Diesel,Manual,First,1248.0,74.0,5.0,6.25,Maruti,Swift,4,22.9
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,35277,Petrol,Automatic,First,,,5.0,30.0,Mercedes-Benz,S,10,7.81
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,54620,Diesel,Automatic,First,1498.0,103.52,5.0,9.86,Skoda,Rapid,4,21.66
Skoda Superb Elegance 2.0 TDI CR AT,Pune,136997,Diesel,Automatic,First,1968.0,138.1,5.0,8.5,Skoda,Superb,8,17.2
Hyundai EON Magna Plus,Kochi,14322,Petrol,Manual,First,814.0,55.2,5.0,4.23,Hyundai,EON,1,21.1
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,65634,Diesel,Manual,First,1199.0,73.9,5.0,3.5,Volkswagen,Polo,8,22.07
Datsun GO NXT,Kolkata,6000,Petrol,Manual,First,1198.0,67.06,5.0,2.5,Datsun,GO,4,20.63
Honda Brio S MT,Kolkata,33280,Petrol,Manual,First,1198.0,86.8,5.0,2.39,Honda,Brio,7,19.4
Mercedes-Benz B Class B180,Delhi,29000,Petrol,Automatic,First,1595.0,120.7,5.0,11.25,Mercedes-Benz,B,7,14.8
Honda City i DTEC V,Kochi,42831,Diesel,Manual,First,1498.0,98.6,5.0,7.11,Honda,City,5,26.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,90000,Diesel,Manual,First,2494.0,100.6,7.0,10.9,Toyota,Innova,4,12.99
Maruti Swift VXI Optional,Ahmedabad,24005,Petrol,Manual,First,1197.0,81.8,5.0,6.2,Maruti,Swift,3,20.4
Mahindra XUV500 W8 2WD,Mumbai,32792,Diesel,Manual,First,2179.0,140.0,7.0,7.9,Mahindra,XUV500,8,15.1
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,147898,Diesel,Manual,First,1498.0,89.84,5.0,4.42,Ford,Ecosport,6,22.7
Toyota Fortuner 4x2 Manual,Mumbai,131765,Diesel,Manual,First,2982.0,168.5,7.0,13.5,Toyota,Fortuner,8,13.0
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,65000,Diesel,Automatic,First,1498.0,108.5,5.0,6.25,Volkswagen,Vento,7,21.5
Ford Figo Diesel Titanium,Jaipur,66123,Diesel,Manual,Second,1399.0,68.0,5.0,2.1,Ford,Figo,10,20.0
BMW X5 xDrive 30d,Mumbai,41000,Diesel,Automatic,First,2993.0,,5.0,45.0,BMW,X5,5,15.3
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,23550,Diesel,Automatic,First,2143.0,167.62,5.0,33.66,Mercedes-Benz,New,3,19.27
Honda Brio V MT,Bangalore,45000,Petrol,Manual,Second,1198.0,86.8,5.0,3.65,Honda,Brio,8,19.4
Hyundai i10 Magna 1.2,Delhi,60000,Petrol,Manual,First,1197.0,78.9,5.0,2.75,Hyundai,i10,7,20.36
Mercedes-Benz GLC 220,Bangalore,44414,Diesel,Automatic,First,2143.0,170.0,5.0,42.5,Mercedes-Benz,GLC,4,17.9
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,1000,Petrol,Manual,First,1197.0,81.86,5.0,6.5,Hyundai,Grand,1,18.9
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,62500,Diesel,Automatic,Second,1968.0,174.33,5.0,19.0,Audi,A6,8,17.68
Volkswagen Vento Petrol Highline AT,Mumbai,21000,Petrol,Automatic,Second,1598.0,103.6,5.0,4.45,Volkswagen,Vento,7,14.4
Mini Countryman Cooper D,Jaipur,8525,Diesel,Automatic,Second,1998.0,112.0,5.0,23.0,Mini,Countryman,3,16.6
Hyundai i20 Asta 1.4 CRDi,Bangalore,29000,Diesel,Manual,First,1396.0,88.73,5.0,8.35,Hyundai,i20,6,22.54
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,40000,Diesel,Automatic,First,1968.0,174.33,5.0,22.95,Audi,A6,6,17.68
Chevrolet Beat Diesel LT,Jaipur,88000,Diesel,Manual,First,936.0,57.6,5.0,1.5,Chevrolet,Beat,8,25.44
Skoda Superb Elegance 1.8 TSI AT,Kochi,53537,Petrol,Automatic,First,1798.0,157.75,5.0,6.89,Skoda,Superb,8,13.7
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,216000,Diesel,Manual,Second,1399.0,68.0,5.0,1.45,Ford,Fiesta,14,17.8
BMW 5 Series 520d Luxury Line,Hyderabad,51000,Diesel,Automatic,First,1995.0,190.0,5.0,33.5,BMW,5,6,22.48
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,118500,Petrol,Manual,First,1598.0,102.5,5.0,1.25,Chevrolet,Optra,13,12.9
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,63000,Diesel,Manual,First,1199.0,73.9,5.0,4.2,Volkswagen,Polo,8,22.07
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,25000,Diesel,Manual,First,1461.0,108.5,8.0,6.75,Renault,Lodgy,5,19.98
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,37382,Diesel,Automatic,First,2143.0,201.1,5.0,32.0,Mercedes-Benz,E-Class,6,13.0
Maruti Baleno Alpha,Kochi,24773,Petrol,Manual,First,1197.0,83.1,5.0,7.5,Maruti,Baleno,3,21.4
Hyundai Verna 1.6 SX,Delhi,62000,Diesel,Manual,First,1582.0,126.32,5.0,4.6,Hyundai,Verna,8,22.32
Hyundai i10 Magna 1.1,Kochi,52340,Petrol,Manual,First,1086.0,68.05,5.0,4.04,Hyundai,i10,3,19.81
Mahindra Scorpio 1.99 S10 4WD,Kochi,56739,Diesel,Manual,First,1997.0,120.0,7.0,10.31,Mahindra,Scorpio,4,15.4
Land Rover Range Rover 2.2L Dynamic,Coimbatore,36091,Diesel,Automatic,First,2179.0,187.7,5.0,55.76,Land,Rover,2,12.7
Ford Figo Diesel ZXI,Chennai,120000,Diesel,Manual,First,1399.0,68.0,5.0,2.6,Ford,Figo,10,20.0
Maruti Ertiga ZDI,Mumbai,33000,Diesel,Manual,First,1248.0,88.5,7.0,8.5,Maruti,Ertiga,4,25.47
Honda City 1.5 GXI,Ahmedabad,60006,Petrol,Manual,First,,,,2.95,Honda,City,13,
Honda Amaze S i-Dtech,Kolkata,52000,Diesel,Manual,First,1498.0,98.6,5.0,3.5,Honda,Amaze,6,25.8
Hyundai i10 Magna,Jaipur,43571,Petrol,Manual,First,1197.0,78.9,5.0,3.55,Hyundai,i10,5,20.36
